Year,Country
2018,South Korea
2014,Russia
2010,Canada
2006,Italy
2002,United States
1998,Japan
1994,Norway
1992,France
1988,Canada
1984,Yugoslavia
1980,United States
1976,Austria
1972,Japan
1968,France
1964,Austria
1960,United States
1956,Italy
1952,Norway
1948,Switzerland
1944,
1940,
1936,Germany
1932,United States
1928,Switzerland
1924,France
